Ax,Ay,Az,Gx,Gy,Gz,Label
-0.422,-0.009,1.302,4.748,-197.504,-27.458,Pitch
-0.224,-0.030,1.015,-8.863,-250.137,-49.137,Pitch
0.029,-0.056,0.853,-3.802,-250.137,-63.733,Pitch
0.174,-0.085,1.000,10.031,-250.137,-63.305,Pitch
0.402,-0.031,0.884,16.328,-250.137,-56.046,Pitch
0.511,0.040,0.724,14.847,-250.137,-36.397,Pitch
0.594,0.014,0.669,8.664,-188.924,-18.412,Pitch
0.636,0.021,0.642,12.626,-121.893,-11.092,Pitch
0.750,0.035,0.655,-1.847,-35.527,-5.275,Pitch
0.741,0.017,0.662,-27.908,69.748,3.580,Pitch
0.729,0.076,0.557,-27.229,189.534,23.840,Pitch
0.556,0.036,0.699,-33.176,250.130,52.145,Pitch
0.447,-0.033,0.743,-20.397,250.130,57.534,Pitch
0.243,-0.158,0.814,11.626,250.130,72.145,Pitch
0.001,-0.114,1.013,21.733,250.130,73.519,Pitch
-0.247,0.012,1.118,6.573,250.130,49.878,Pitch
-0.329,-0.099,1.045,8.824,177.885,27.008,Pitch
-0.336,-0.097,1.074,13.603,62.794,11.565,Pitch
-0.428,-0.094,1.165,14.130,-29.542,-3.458,Pitch
-0.456,-0.038,1.384,3.901,-148.145,-23.466,Pitch
-0.248,-0.017,1.128,-9.916,-250.137,-50.122,Pitch
-0.033,-0.068,0.904,2.649,-250.137,-55.153,Pitch
0.176,-0.061,0.924,16.618,-250.137,-50.221,Pitch
0.332,0.017,0.926,21.710,-250.137,-49.443,Pitch
0.485,0.053,0.812,11.763,-250.137,-45.107,Pitch
0.601,0.034,0.673,13.756,-204.481,-32.794,Pitch
0.751,0.030,0.677,19.046,-136.916,-20.527,Pitch
0.746,0.044,0.672,2.084,-57.725,-6.870,Pitch
0.707,0.040,0.679,-14.565,79.969,17.702,Pitch
0.685,0.075,0.613,-17.496,213.351,41.954,Pitch
0.597,0.009,0.724,-40.992,250.130,62.107,Pitch
0.450,-0.021,0.659,-34.870,250.130,74.908,Pitch
0.103,-0.104,0.936,-24.000,250.130,65.198,Pitch
-0.133,-0.050,1.040,0.832,250.130,57.519,Pitch
-0.242,-0.087,1.050,3.191,209.817,45.351,Pitch
-0.311,-0.120,1.041,-2.496,120.870,40.481,Pitch
-0.396,-0.058,1.090,-2.588,37.687,13.519,Pitch
-0.448,-0.104,1.144,12.847,-94.053,-19.496,Pitch
-0.478,-0.068,1.292,8.710,-250.137,-47.237,Pitch
-0.119,-0.032,0.973,-15.443,-250.137,-70.198,Pitch
0.083,-0.099,0.903,10.221,-250.137,-67.481,Pitch
0.325,-0.053,0.881,26.206,-250.137,-60.985,Pitch
0.460,-0.017,0.850,23.229,-250.137,-43.092,Pitch
0.578,0.082,0.737,19.618,-250.137,-38.496,Pitch
0.667,0.065,0.678,12.710,-191.740,-39.153,Pitch
0.761,0.027,0.656,3.214,-91.198,-27.260,Pitch
0.801,-0.046,0.672,-12.863,115.641,18.962,Pitch
0.696,0.012,0.588,-11.901,250.130,55.931,Pitch
0.563,0.022,0.798,-28.763,250.130,58.901,Pitch
0.415,-0.065,0.742,-17.779,250.130,57.824,Pitch
0.218,-0.049,0.791,0.588,250.130,62.931,Pitch
-0.052,-0.085,0.982,0.893,250.130,55.405,Pitch
-0.172,-0.069,1.132,6.496,243.573,28.580,Pitch
-0.294,-0.070,1.068,13.611,136.038,18.359,Pitch
-0.309,-0.090,1.066,8.427,18.084,5.305,Pitch
-0.407,-0.053,1.066,10.695,-71.412,-6.504,Pitch
-0.334,-0.013,1.338,-15.618,-170.366,-36.160,Pitch
-0.182,-0.065,1.137,-28.840,-250.137,-58.031,Pitch
0.127,-0.101,0.803,-8.649,-250.137,-72.466,Pitch
0.348,-0.076,0.795,28.038,-250.137,-53.954,Pitch
0.445,-0.006,0.833,31.771,-250.137,-35.336,Pitch
0.611,0.076,0.725,21.298,-250.137,-37.198,Pitch
0.719,0.047,0.651,11.817,-168.504,-36.420,Pitch
0.759,0.055,0.600,10.481,-90.634,-29.374,Pitch
0.815,-0.034,0.625,-7.954,54.092,0.817,Pitch
0.720,0.052,0.679,-9.427,152.565,16.748,Pitch
0.662,0.025,0.632,-20.916,230.832,35.115,Pitch
0.611,-0.021,0.746,-39.802,250.130,67.756,Pitch
0.415,-0.056,0.753,-27.580,250.130,80.725,Pitch
0.192,-0.073,0.814,8.977,250.130,85.527,Pitch
-0.067,-0.080,1.047,16.382,250.130,70.595,Pitch
-0.228,-0.033,1.082,2.206,242.878,42.672,Pitch
-0.317,-0.122,1.055,5.443,116.565,33.137,Pitch
-0.407,-0.067,1.087,-2.679,16.473,11.985,Pitch
-0.353,-0.089,1.124,11.321,-73.840,-5.489,Pitch
-0.316,-0.005,1.274,-5.084,-191.603,-33.985,Pitch
-0.150,-0.059,1.071,-24.473,-250.137,-56.160,Pitch
0.073,-0.118,0.841,-2.321,-250.137,-61.779,Pitch
0.253,-0.055,0.841,12.580,-250.137,-56.992,Pitch
0.399,-0.034,0.894,6.237,-250.137,-41.779,Pitch
0.497,0.023,0.842,3.450,-250.137,-37.824,Pitch
0.606,0.013,0.744,1.710,-190.313,-36.557,Pitch
0.661,-0.040,0.693,0.435,-119.420,-25.176,Pitch
0.730,-0.025,0.677,1.412,-66.496,-16.214,Pitch
0.732,0.026,0.690,0.214,-12.260,-8.496,Pitch
0.703,-0.009,0.629,6.756,75.053,7.779,Pitch
0.649,-0.009,0.499,10.939,186.198,44.824,Pitch
0.526,-0.046,0.767,-32.885,250.130,84.969,Pitch
0.512,-0.074,1.020,-35.565,250.130,76.863,Pitch
0.214,-0.045,0.754,1.641,250.130,71.237,Pitch
-0.089,-0.068,0.976,6.321,250.130,55.672,Pitch
-0.239,-0.045,1.141,14.473,231.527,31.794,Pitch
-0.321,-0.106,1.024,15.275,134.519,17.901,Pitch
-0.394,-0.105,1.068,4.664,56.420,9.084,Pitch
-0.435,-0.104,1.134,8.847,-39.992,3.443,Pitch
-0.398,-0.065,1.248,-3.374,-172.420,-22.237,Pitch
-0.238,-0.086,1.042,1.252,-250.137,-42.115,Pitch
-0.016,-0.064,0.878,11.733,-250.137,-45.725,Pitch
0.202,-0.044,0.881,-2.527,-250.137,-63.626,Pitch
0.334,-0.053,0.863,9.756,-250.137,-55.137,Pitch
0.557,0.012,0.802,15.664,-250.137,-42.191,Pitch
0.593,0.060,0.726,6.626,-250.137,-42.901,Pitch
0.844,0.017,0.764,-14.626,-181.611,-41.557,Pitch
0.830,0.006,0.674,-19.305,-69.824,-34.489,Pitch
0.806,-0.068,0.687,-15.374,112.336,0.626,Pitch
0.743,0.013,0.622,-11.687,224.534,18.366,Pitch
0.629,0.019,0.644,-26.901,250.130,38.130,Pitch
0.530,-0.050,0.726,-43.427,250.130,57.519,Pitch
